action,eco,name,pgn,new_pgn,comment
remove,A00,"Amar Opening: Paris Gambit, Gent Gambit",1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,,
remove,A00,"Polish Opening: Outflank Variation, Schuehler Gambit",1. b4 c6 2. Bb2 a5 3. b5,,
remove,A00,Ware Opening: Cologne Gambit,1. a4 b6 2. d4 d5 3. Nc3 Nd7,,
remove,A09,"Réti Opening: Advance Variation, Navara Gambit",1. Nf3 d5 2. c4 d4 3. b4 g5,,
remove,A13,English Opening: Romanishin Gambit,1. c4 Nf6 2. Nf3 e6 3. g3 a6 4. Bg2 b5,,
remove,A19,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",1. c4 e6 2. Nc3 Nf6 3. e4 c5 4. e5 Ng8,,
remove,A22,"English Opening: King's English Variation, Adhiban Gambit",1. c4 e5 2. Nc3 Nf6 3. Nf3 e4 4. Ng5 c6,,
remove,A40,Englund Gambit: Felbecker Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Bc5,,
remove,A40,Englund Gambit: Hartlaub-Charlick Gambit,1. d4 e5 2. dxe5 d6,,
remove,A40,Englund Gambit: Mosquito Gambit,1. d4 e5 2. dxe5 Qh4,,
remove,A40,Englund Gambit: Soller Gambit,1. d4 e5 2. dxe5 f6,,
remove,A40,Englund Gambit: Zilbermints Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Nge7,,
remove,A51,Indian Defense: Budapest Gambit,1. d4 Nf6 2. c4 e5,,
remove,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Brandics Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 a6,,
remove,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Erben Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 g6,,
remove,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Heinola-Deppe Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 e5,,
remove,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Nimzowitsch Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Ne5,,
remove,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation, Richter Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Nb8 5. f3,,
remove,B10,Caro-Kann Defense: Dinic Gambit,1. e4 c6 2. Nf3 d5 3. d3 dxe4 4. Ng5,,
remove,B15,Caro-Kann Defense: Alien Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Ng5 h6 6. Nxf7,,
